version,split,start,end,trades,profit_factor,expectancy,expectancy_r,top10_pct_pnl
M0R,train,2020-01-01,2022-12-31,49,3.6626,0.0751,1.2203,1.0846
M0R,validate,2023-01-01,2023-12-31,17,0.5222,-0.0208,-0.3709,-0.4064
M0R,holdout,2024-01-01,2024-12-31,23,2.739,0.0331,0.6449,1.5589
M4R,train,2020-01-01,2022-12-31,21,1.0708,0.0019,-0.0265,14.0228
M4R,validate,2023-01-01,2023-12-31,1,,-0.0087,-0.1744,1.0
M4R,holdout,2024-01-01,2024-12-31,3,0.8003,-0.005,-0.071,1.0
P2A,train,2020-01-01,2022-12-31,14,3.443,0.0634,1.2969,1.3673
P2A,validate,2023-01-01,2023-12-31,9,0.4249,-0.0197,-0.3841,1.0
P2A,holdout,2024-01-01,2024-12-31,6,0.4604,-0.0105,-0.2229,1.0
P2B,train,2020-01-01,2022-12-31,13,3.9626,0.072,1.4319,1.2977
P2B,validate,2023-01-01,2023-12-31,6,0.3786,-0.0224,-0.4242,1.0
P2B,holdout,2024-01-01,2024-12-31,6,0.4604,-0.0105,-0.2229,1.0
