year,horizon_weeks,alpha
2014,8,0.0702179098547957
2014,10,0.0770606701757004
2014,13,0.06932396178751976
2015,8,0.01381401617250666
2015,10,-0.0413787069945587
2015,13,-0.020901639344261924
2016,8,0.05337941633089138
2016,10,0.05451610534077167
2016,13,-0.01876481919642803
2017,8,-0.11902438341183014
2017,10,-0.10855610941115801
2017,13,-0.21855930569958737
2018,8,-0.0735565523740142
2018,10,-0.043872089195637676
2018,13,-0.056082354460749606
2019,8,0.03526431900271443
2019,10,0.020571195059709724
2019,13,0.020222733079193922
2020,8,0.1968606904634369
2020,10,0.1694260553622562
2020,13,0.09671459080426126
2021,8,-0.22010408466719178
2021,10,-0.2703985203985203
2021,13,-0.23986486486486513
2022,8,0.026648850802003854
2022,10,0.026761973440221687
2022,13,0.07138097673712185
2023,8,0.0088731274890671
2023,10,-0.04387251434886863
2023,13,-0.02348815171829266
2024,8,0.07722399046378425
2024,10,0.10384204095995786
2024,13,0.16393442622950816
